id,name,description,contact_id,type,form,category,rate,duration,start_date,finish_date,cost,num_visit,num_visit_left,filial,invoice_id,discount,discount_comment,internal_notice,tags,tags2,event_id,assign_reason
449f8c26-82d2-2310-5026-6a0da14ea6b9,ЛШ 2026 Очно Москва 3.08 - 14.08 (ФОТОН),,106800e2-0fc1-05dd-5ece-64885acb1b2f,Standart,,,,360,2026-05-20,2027-05-15,34300,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,52700,,,,,OCH_LSH_MSK_FOTON_0308,единственная очная ЛШ ученика; строка участника важнее текста платежа
2daabe8a-19fa-2f0c-c30a-6a0d739e68af,ЛШ 2026 Очно МФТИ 17.08 - 28.08 (УНПК),,10782dbf-db1d-dad5-5963-6a044b26e80e,Standart,,,,360,2026-05-20,2027-05-15,99500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,-12500,,,,,OCH_LSH_MFTI_UNPK_1708,единственная очная ЛШ ученика; строка участника важнее текста платежа
32650c0d-6e54-fe66-1297-69ff2c6037f7,ЛШ-26 Москва 3.08 - 14.08 (ФОТОН),,13b8efa9-3817-c8d2-d710-698c3d615f82,Standart,,,,360,2026-05-09,2027-05-04,59000,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,28000,,,,,OCH_LSH_MSK_FOTON_0308,единственная очная ЛШ ученика; строка участника важнее текста платежа
82bf2bd3-71d5-b56b-b702-6a141ba9853a,ЛШ 2026 Очно Москва 6.07 - 17.07 (УНПК),,155e40e8-e039-702b-84eb-6a0efd91aa62,Standart,,,,360,2026-05-25,2027-05-20,59500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,27500,,,,,OCH_LSH_MSK_UNPK_0607,единственная очная ЛШ ученика; строка участника важнее текста платежа
8440cc8f-f1f1-42e9-5935-6a14365a48a6,ЛШ 2026 Очно Москва 6.07 - 17.07 (УНПК),,15802d2d-594f-fd8a-882e-6a01aa1f34f6,Standart,,,,360,2026-05-25,2027-05-20,37500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,49500,,,,,OCH_LSH_MSK_UNPK_0607,единственная очная ЛШ ученика; строка участника важнее текста платежа
aa07448c-40de-3764-cd7b-6a0d8016f2ef,ЛШ 2026 Очно Москва 6.07 - 17.07 (УНПК),,1597c915-3194-1181-457c-69e216a30f49,Standart,,,,360,2026-05-20,2027-05-15,37500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,49500,,,,,OCH_LSH_MSK_UNPK_0607,единственная очная ЛШ ученика; строка участника важнее текста платежа
b76f947e-db51-24a0-9160-6a0c507e492c,ЛШ 2026 Очно МФТИ 17.08 - 28.08 (УНПК),,18ea95dc-f854-e031-7c0e-69fb0b5cc37f,Standart,,,,360,2026-05-19,2027-05-14,99500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,-12500,,,,,OCH_LSH_MFTI_UNPK_1708,единственная очная ЛШ ученика; строка участника важнее текста платежа
3b97b96c-591c-2018-afdf-6a1d3ac755c2,ЛШ 2026 Очно Москва 6.07 - 17.07 (УНПК),,1add0945-d7ee-3e1c-432c-6a181e795960,Standart,,,,360,2026-06-01,2027-05-27,37500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,49500,,,,,OCH_LSH_MSK_UNPK_0607,единственная очная ЛШ ученика; строка участника важнее текста платежа
7c786555-ec4b-feda-214b-6a159fc13e7b,ЛШ 2026 Очно МФТИ 17.08 - 28.08 (УНПК),,1f0d4b6b-a19e-a37a-367c-6a0ffaa755b9,Standart,,,,360,2026-05-26,2027-05-21,37500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,49500,,,,,OCH_LSH_MFTI_UNPK_1708,единственная очная ЛШ ученика; строка участника важнее текста платежа
e07bf84b-641b-e157-ff27-6a16c9a44fe1,ЛШ 2026 Очно Москва 6.07 - 17.07 (УНПК),,21de4062-a2eb-f98f-c8b8-6a0443d9e199,Standart,,,,360,2026-05-27,2027-05-22,37500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,49500,,,,,OCH_LSH_MSK_UNPK_0607,единственная очная ЛШ ученика; строка участника важнее текста платежа
