id,name,description,subject_name,date_start,date_finish,program_name,filial,status,course_number_seats,course_tags,course_type
1f6fa90d-62ac-1e68-3add-6a22b644ec43,ЛШ 2026 Онлайн 20.07 – 31.07 (УНПК),,Сезонные школы 2025-2026 онлайн,2026-07-20,2026-07-31,,{'onlajn': 'Онлайн'},active,0,,
23614378-0805-50a6-9420-6a1fe644bae2,ЛШ 2026 Очно Москва 20.07 - 31.07 (УНПК) ФМ,,Сезонные школы 2025-2026 очно,2026-07-20,2026-07-31,,,active,0,,
bbbddbb3-7a10-37b6-d559-69dca318f82b,ЛШ 2026 Очно МФТИ 20.07 - 31.07 (УНПК),,Сезонные школы 2025-2026 очно,2026-07-20,2026-07-31,,{'mfti': 'МФТИ'},active,0,,
37649445-d1f4-812d-bb7d-6a22b728f66e,ЛШ 2026 Онлайн 03.08 – 14.08 (УНПК),,Сезонные школы 2025-2026 онлайн,2026-08-03,2026-08-14,,{'onlajn': 'Онлайн'},active,0,,
3fb8804b-fa57-8f10-2ae5-69dca4e663d8,ЛШ 2026 Очно Москва 3.08 - 14.08 (ФОТОН),,Сезонные школы 2025-2026 очно,2026-08-03,2026-08-14,,{'sretenka': 'Сретенка'},active,0,,
57f49275-6a4b-7d31-5af3-6918568d6c18,ЛШ 2026 Выездная УНПК 15.08 - 25.08 (ФМ) 5-10 кл (Не пишем),,Сезонные школы 2025-2026 очно,2026-08-15,2026-08-25,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},active,0,,
c2990716-f688-c43f-043a-691856540d0f,ЛШ 2026 Выездная УНПК 15.08 - 25.08 (ИТ) 7-10 кл (Не пишем),,Сезонные школы 2025-2026 очно,2026-08-15,2026-08-25,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},active,0,,
d205a658-ae79-65f9-191d-69dca3ebe216,ЛШ 2026 Очно МФТИ 17.08 - 28.08 (УНПК),,Сезонные школы 2025-2026 очно,2026-08-17,2026-08-28,,{'mfti': 'МФТИ'},active,0,,
1cd46f1c-2afb-d50e-c87e-6a1d572ecef7,Мат 2026 Красносел 9 кл Сб 14.30-16.30 Продвинутый ФОТОН,,2026-2027 очно,2026-09-12,2027-05-22,,{'krasnoselskaya': 'Красносельская'},active,0,,
1dd2546d-7b88-8945-5fd1-6a1d563cfff0,Рус 2026 Красносел ОГЭ 9 кл  Сб 12.15-14.15 ФОТОН,,2026-2027 очно,2026-09-12,2027-05-22,,{'krasnoselskaya': 'Красносельская'},active,0,,
537b08d1-8cca-cf8d-9718-6a1d5648d07f,Инф 2026 Красносел ОГЭ 9 кл Сб 12.15-14.15 ФОТОН,,2026-2027 очно,2026-09-12,2027-05-22,,{'krasnoselskaya': 'Красносельская'},active,0,,
60e3e146-8824-eeca-5fc4-6a1d4e4c61cb,Мат 2026 Красносел 11 кл Сб 10.00-12.00 Базовый ФОТОН,,2026-2027 очно,2026-09-12,2027-05-22,,{'krasnoselskaya': 'Красносельская'},active,0,,
71788d13-bf5d-0810-aa2b-6a1d4f9f1a5e,Физ 2026 Красносел 9 кл Сб 10.00-12.00 Продвинутый ФОТОН,,2026-2027 очно,2026-09-12,2027-05-22,,{'krasnoselskaya': 'Красносельская'},active,0,,
7ab38582-28e3-bd06-c5c6-6a1d57e80d5a,Инф 2026 Красносел 10-11 кл Сб 14.30-16.30 ФОТОН,,2026-2027 очно,2026-09-12,2027-05-22,,{'krasnoselskaya': 'Красносельская'},active,0,,
8a24a245-32cd-953a-5af1-6a1d57bc6338,Рус 2026 Красносел ЕГЭ 10-11 кл Сб 14.30-16.30 ФОТОН,,2026-2027 очно,2026-09-12,2027-05-22,,{'krasnoselskaya': 'Красносельская'},active,0,,
a773e5e3-b329-6661-8ebc-6a1d4dd6170a,Мат 2026 Красносел 11 кл Сб  10.00-12.00 Продвинутый ФОТОН,,2026-2027 очно,2026-09-12,2027-05-22,,{'krasnoselskaya': 'Красносельская'},active,0,,
ab8a94e8-0018-02c8-1b53-6a1d53d1a036,Физ 2026 Красносел 11 кл Сб 12.15-14.15 Базовый ФОТОН,,2026-2027 очно,2026-09-12,2027-05-22,,{'krasnoselskaya': 'Красносельская'},active,0,,
b1d8c757-f386-f19f-8592-6a1d5862c8e4,Физ 2026 Красносел 9 кл Сб 14.30-16.30 Базовый ФОТОН,,2026-2027 очно,2026-09-12,2027-05-22,,{'krasnoselskaya': 'Красносельская'},active,0,,
b590682d-096a-955c-aa81-6a1d4e699754,Физ 2026 Красносел 10 кл Сб 10.00-12.00 Базовый ФОТОН,,2026-2027 очно,2026-09-12,2027-05-22,,{'krasnoselskaya': 'Красносельская'},active,0,,
baca097b-88f9-7b67-2150-6a1d530d0894,Физ 2026 Красносел 11 кл Сб 12.15-14.15 Продвинутый ФОТОН,,2026-2027 очно,2026-09-12,2027-05-22,,{'krasnoselskaya': 'Красносельская'},active,0,,
c7d7479b-4da5-8778-341f-6a1d54956d87,Мат 2026 Красносел 9 кл Сб 12.15-14.15 Продвинутый ФОТОН,,2026-2027 очно,2026-09-12,2027-05-22,,{'krasnoselskaya': 'Красносельская'},active,0,,
e9586845-e29f-66f3-ebe3-6a1d54533a96,Мат 2026 Красносел 10 кл Сб 12.15-14.15 Продвинутый ФОТОН,,2026-2027 очно,2026-09-12,2027-05-22,,{'krasnoselskaya': 'Красносельская'},active,0,,
13982ed3-ba87-c5c0-2a8a-6a1d65f62388,Мат 2026 Красносел 5 кл Вс 12.15-14.15 Продвинутый ФОТОН,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
17a74e1f-f157-a2b9-c68c-6a1d60648010,Физ 2026 Срет 11 кл Вс 14.30-16.30 Олимпиадный УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'sretenka': 'Сретенка'},active,0,,
1a16006e-380f-d27a-3851-6a1d639786f7,Физ 2026 Красносел 8 кл Вс 10.00-12.00 Базовый УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
1ffa511a-7401-592c-7322-6a1d66e2ae98,Мат 2026 Красносел 3-4 кл Вс 12.15-13.35 Олимпиадный ФОТОН,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
21b33afd-211d-778c-66c6-6a1d655d6ef7,Физ 2026 Красносел 5-6 кл Вс 12.15-14.15 УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
226309c6-0507-6939-32b0-6a1d64e0fb47,Инф 2026 Красносел 7 кл Вс 10.00-12.00 Продвинутый ФОТОН,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
22e4a7d6-0826-bddd-49d2-6a1d66e6c959,Инф 2026 Красносел 5-6 кл Вс 14.30-16.30  ФОТОН,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
25c7724e-226d-5448-d5a6-6a1d5f8c5a8f,Физ 2026 Срет 9 кл Вс 12.15-14.15 Продвинутый УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'sretenka': 'Сретенка'},active,0,,
34825673-654a-5a65-49cd-6a1d613c104b,Физ 2026 Срет 10 кл Вс 16.45-18.45 Олимпиадный УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'sretenka': 'Сретенка'},active,0,,
37a6a441-2cd9-2a3b-d59f-6a1d6587710c,Мат 2026 Красносел 7 кл Вс 12.15-14.15 Продвинутый УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
37ebc047-6043-6dda-8a4e-6a1d64cdca06,Инф 2026 Красносел 8 кл Вс 12.15-14.15 Продвинутый ФОТОН,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
390f07d1-04be-98c1-65db-6a1d59844c10,Мат 2026 Срет 11 кл Вс 10.00-12.00 Продвинутый УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'sretenka': 'Сретенка'},active,0,,
42869719-63ba-3266-b964-6a1d61e89b61,Физ 2026 Срет 9 кл Вс 14.30-16.30 Олимпиадный УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'sretenka': 'Сретенка'},active,0,,
50736c0c-ffa7-4706-1233-6a1d66f6db7c,Мат 2026 Красносел 3-4 кл Вс 10.40-12.00 Базовый ФОТОН,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
5a990160-f10f-c800-6279-6a1d66642798,Мат 2026 Красносел 6 кл Вс 14.30-16.30 Олимпиадный УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
5e3003d6-7b02-86f7-5870-6a1d65fa8997,Мат 2026 Красносел 8 кл Вс 14.30-16.30 Продвинутый ФОТОН,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
69ea9122-dd7e-be64-0771-6a1d642f80e9,Мат 2026 Красносел 5 кл Вс 10.00-12.00 Олимпиадный УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
710f6eaf-c466-da78-28d1-6a1d628c5d0d,Мат 2026 Срет 9 кл Вс 16.45-18.45 Олимпиадный УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'sretenka': 'Сретенка'},active,0,,
7424aaf2-586e-a51f-022c-6a1d590f9a87,Физ 2026 Срет 10 кл Вс 10.00-12.00 Продвинутый УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'sretenka': 'Сретенка'},active,0,,
74f4e207-2048-5552-14d9-6a1d5e02f24d,Инф 2026 Срет ОГЭ 9 кл Вс 10.00-12.00 УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'sretenka': 'Сретенка'},active,0,,
759b52ef-c605-9a00-532e-6a1d632be763,Мат 2026 Красносел 7 кл Вс 10.00-12.00 Олимпиадный УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
77596f63-e460-eb7d-f0d9-6a1d6489b3f5,Инф 2026 Красносел 8 кл Вс 12.15-14.15 Продвинутый УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
800e2211-1e27-962d-2d1a-6a1d650945a5,Физ 2026 Красносел 7 кл Вс 14.30-16.30 Продвинутый ФОТОН,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
815e4b77-1df5-6b3f-bf60-6a1d618b8e63,Мат 2026 Срет 11 кл Вс 16.45-18.45 Олимпиадный УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'sretenka': 'Сретенка'},active,0,,
82070fae-ebd3-a146-0217-6a1d67bed03d,Мат 2026 Красносел 3-4 кл Вс 13.50-15.20 Олимпиадный ФОТОН,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
82c516f5-0e30-730e-682e-6a1d644813ec,Мат 2026 Красносел 6 кл Вс 10.00-12.00 Продвинутый ФОТОН,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
90c5525a-e9a0-a5de-4de6-6a1d665d138f,Мат 2026 Красносел 5 кл Вс 14.30-16.30 Продвинутый УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
91c0aa54-be29-020c-eb1b-6a1d64f9e534,Инф 2026 Красносел 7 кл Вс 10.00-12.00 Продвинутый УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
92bd0e67-0753-0f37-ce72-6a1d664cb5f9,Инф 2026 Красносел 5-6 кл Вс 14.30-16.30  УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
9519bd7e-96c5-a71d-3d33-6a1d66796521,Мат 2026 Красносел 3-4 кл Вс 12.15-13.35 Продвинутый ФОТОН,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
96e5d448-5e13-9fcf-a478-6a1d5e5277d8,Мат 2026 Срет 11 кл Вс 12.15-14.15 Продвинутый УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'sretenka': 'Сретенка'},active,0,,
996c87dd-ead2-bcd2-0dd4-6a1d656f3f99,Мат 2026 Красносел 7 кл Вс 12.15-14.15 Продвинутый ФОТОН,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
998dc761-b31d-be2f-9ba7-6a1d65925f21,Мат 2026 Красносел 8 кл Вс 14.30-16.30 Продвинутый УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
a0d3ff1d-4a00-3f59-cf09-6a1d60ff0085,Мат 2026 Срет 9 кл Вс 14.30-16.30 Продвинутый УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'sretenka': 'Сретенка'},active,0,,
a78cfa5c-bf0f-8467-749c-6a1d607a117a,Мат 2026 Срет 10 кл Вс 14.30-16.30 Олимпиадный УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'sretenka': 'Сретенка'},active,0,,
a8c1c19a-7f2e-b967-c0f8-6a1d65f2da00,Физ 2026 Красносел 7 кл Вс 14.30-16.30 Продвинутый УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
b1dfd7ee-f7b5-acd4-5c8a-6a1d5fd07834,Мат 2026 Срет 10 кл Вс 12.15-14.15 Продвинутый УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'sretenka': 'Сретенка'},active,0,,
b24c8eb4-e174-73be-da10-6a1d5eb4e7e5,Физ 2026 Срет 11 кл Вс 12.15-14.15 Продвинутый УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'sretenka': 'Сретенка'},active,0,,
c1564b07-74c8-052a-abb6-6a1d6476b25f,Мат 2026 Красносел 8 кл Вс 12.15-14.15 Олимпиадный УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
c41412df-80d5-0ab1-217d-6a1d5f843fd7,Инф 2026 Срет 10-11 кл Вс 12.15-14.15 Продвинутый УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'sretenka': 'Сретенка'},active,0,,
c6dbe46c-b680-1555-0e6c-6a1d6416be46,Мат 2026 Красносел 6 кл Вс 10.00-12.00 Продвинутый УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
ccf1237b-bf1e-c6a1-de3d-6a1d638ebca2,Физ 2026 Красносел 8 кл Вс 10.00-12.00 Базовый ФОТОН,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
d1841305-1131-a605-5195-6a1d591c5073,Мат 2026 Срет 9 кл Вс 10.00-12.00 Продвинутый УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'sretenka': 'Сретенка'},active,0,,
e28065cd-b526-366c-29bb-6a1d6564678a,Физ 2026 Красносел 5-6 кл Вс 12.15-14.15 ФОТОН,,2026-2027 очно,2026-09-13,2027-05-23,,{'krasnoselskaya': 'Красносельская'},active,0,,
e85e8166-9c45-fc04-6dbe-6a1d609c1d93,Инф 2026 Срет 10-11 кл ЕГЭ Вс 14.30-16.30 УНПК,,2026-2027 очно,2026-09-13,2027-05-23,,{'sretenka': 'Сретенка'},active,0,,
