эффективная_цена	остаток_уточненный	разница_к_прайсу_%	статус_цены	стоимости_абонементов	скидки_абонементов	комментарий_проверки_цены	abonement_ids
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	b3c0d9a8-dcba-5be4-c410-69a813ea08ee
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	d0f7adc4-53ef-dd7f-0f26-698da0859ee4
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	5a8bd170-58ac-ba57-6b52-69ff1a76119e
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	2e3a0569-76cc-a16d-4e43-6a141993f073
86583	0	0.07	оплачено со скидкой/ранним бронированием	86583	417	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	a22e07ca-e5d7-0034-9915-6a2175ea7b5a
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	c0ed7711-53de-0f3e-b54e-69d39f4f16d8
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	1e41ffeb-9fd0-0e68-92e0-69ff2b62f14d
83790	0	0.1	оплачено со скидкой/ранним бронированием	83790	3210	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	99b764ab-cce8-021b-2006-6a0da575e973
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	655350c7-6f38-95dd-2806-69d3998fc4ab
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	3f270a21-b72e-4dc0-889a-699aeb922292
79135	0	0.15	оплачено со скидкой/ранним бронированием	79135	7865	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	cb665738-404b-e4fd-4229-69a8010ab15a
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	24c1f2fa-81cc-5cae-ced9-699ff1ef1702
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	903f1dbb-0ad8-85ad-7561-69848d7e2fa9
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	793e58b5-1b13-1dc5-88dd-69f0e0c2f4f2
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	74f31593-3e49-ee15-44df-69839dc000cb
88445	0	0.05	оплачено со скидкой/ранним бронированием	88445	-1445	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	7424e08f-5ac3-dbb9-b8e0-6a1418eeac95
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	9f772f3c-9ba4-a86e-8166-69ff1e71e092
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	72e3c1ad-96ec-b941-ffdc-69d3a35be65e
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	ba568933-29fd-83a3-98aa-69c63a9d01eb
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	30640345-80b1-e051-ad82-69e121c6dec7
93100	0	0	оплачено со скидкой/ранним бронированием	93100.0	-6100.0	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	ef378a3d-0737-d943-0780-69e125880c4b
79380	0	0.1474	оплачено со скидкой/ранним бронированием	79380	7620	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	2e051045-3bb4-39b8-3f30-69d37c5f874a
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	8c16ad9c-d3f8-22d4-2fa1-69d39ef12909
79380	0	0.1474	оплачено со скидкой/ранним бронированием	79380	7620	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	9e887d78-12f6-3e0c-cf87-69d3871fcebb
79380	0	0.1474	оплачено со скидкой/ранним бронированием	79380	7620	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	21161763-44c4-aca7-d962-69d397b980ec
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	77b5b470-b750-71bb-86aa-699584303163
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	90f6b727-ae4f-8f4a-8015-69a81c2e9bd9
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200.0	-1200.0	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	e4e557af-7d68-6563-34ea-6a0de8ec8a66
78400	0	0.1579	оплачено со скидкой/ранним бронированием	78400	8600	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	e6cffccd-475c-3b40-be56-6979b5c7592a
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	78978283-7dfb-66ab-43f0-699f1885a3a1
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	40be8757-0996-07d9-8c3d-69ff2dd66ff4
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	274865fc-d65b-3707-ee7a-69eb5aae47f5
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	80ec27e8-4f03-e076-6206-69a81c355372
78400	0	0.1579	оплачено со скидкой/ранним бронированием	78400	8600	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	7f842716-b2ab-e73d-e325-6979b36a25b8
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	a843cb23-f809-1a1c-4e07-69839d75f872
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	12615753-16e8-39c1-cf74-69e22f515ed6
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	ca932e62-e230-beda-0088-69f0e8c88df3
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	41dc673d-e6c5-570b-ad63-69675574b293
78400	0	0.1579	оплачено со скидкой/ранним бронированием	78400	8600	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	550e0246-c00e-b312-58d9-697763129943
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	4230b143-90cd-748e-4e99-69eb59ddc3e3
87000	0	0.0655	оплачено со скидкой/ранним бронированием	87000	0	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	d6f702a2-2553-3705-4795-69da848ba272
88445	0	0.05	оплачено со скидкой/ранним бронированием	88445	-1445	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	389ea59d-ab22-bd58-f09d-69ff27a7e780
